title,artist,link
Multicolour Abstract (1970),Christopher J. Allan,art/record/122873?highlight=*:*
Untitled - Print of Figures Lying in a Garden (1962),Ann F Ward,art/record/99337?highlight=*:*
Untitled (1981),Sarah Robertson,art/record/21835?highlight=*:*
Damn blast and a side order of damn,Colin Montgomery,art/record/22545?highlight=*:*
Untitled (1969),Richard Easson,art/record/99832?highlight=*:*
Man (Circa 1977),Alfons Bytautas,art/record/122795?highlight=*:*
(n) (fr) Les Voyeurs (1984),David C Duke,art/record/99247?highlight=*:*
Parc de Tuileries - Paris (1963),John Bellany,art/record/21533?highlight=*:*
Untitled (Unknown),Ross Thomson,art/record/21725?highlight=*:*
Portrait of a Man (1952),David Michie,art/record/21385?highlight=*:*
Woman Seated on Sofa (May 1963),John Bellany,art/record/20779?highlight=*:*
Portrait of a Seated Man,Finlay Purvis,art/record/21518?highlight=*:*
Unknown,Sean Byrne,art/record/53600?highlight=*:*
Sean Connery as a Life Model (1952),Alastair Fairweather,art/record/22598?highlight=*:*
Untitled,NA,art/record/20661?highlight=*:*
Figurative Composition in Brown and Blue (1993),Kenneth T. W. Neil,art/record/20756?highlight=*:*
"Metope 28, south entablature, Parthenon (1837)",NA,art/record/20647?highlight=*:*
Patrick Nuttgens (recto) (1953),Llewella C. Brayne,art/record/22705?highlight=*:*
Unknown (1963),James T Carlyle,art/record/50501?highlight=*:*
Untitled (1965),Peter Pretsell,art/record/99791?highlight=*:*
Seated Woman (Circa 1961),Ann F Ward,art/record/21354?highlight=*:*
Wrap up (Unknown),George Donald,art/record/21825?highlight=*:*
Unknown (1960),Thora Clyne,art/record/50558?highlight=*:*
Unknown (Unknown),Unknown,art/record/21554?highlight=*:*
Teapot,Emma Gillies,art/record/53745?highlight=*:*
Unknown (Unknown),Unknown,art/record/21548?highlight=*:*
Portrait of Seated Woman (1952),Nicholas Patrick Rentiens,art/record/21371?highlight=*:*
Unknown,Elizabeth J. Currie,art/record/50380?highlight=*:*
Man in Uniform,Tennant,art/record/21481?highlight=*:*
Farm (possibly),Donald Clark,art/record/21489?highlight=*:*
Untitled (1965),Wilson,art/record/22485?highlight=*:*
Abstract Composition in Green with Curved Recess (1967),George M. Donald,art/record/22509?highlight=*:*
Untitled (Unknown),Unknown,art/record/21707?highlight=*:*
Unknown (1985),Donald Provan,art/record/50418?highlight=*:*
Unknown (1960),John Johnstone,art/record/53550?highlight=*:*
Crying (2014),Rachel Hill,art/record/47448?highlight=*:*
Life Painting,Elizabeth Blackadder,art/record/20754?highlight=*:*
Goats Feeding (1974),Anthony Gross,art/record/21748?highlight=*:*
Untitled,Joyce M Cumming,art/record/112356?highlight=*:*
Composition of Two Figures on Yellow* (1968),Alan T. Johnston,art/record/22624?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,art/record/20692?highlight=*:*
Untitled - Girl with Crows (1961-1962),Gwendolene E Roger,art/record/99399?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,art/record/20664?highlight=*:*
Untitled (Unknown),Unknown,art/record/99915?highlight=*:*
Barrel Vessel (1920s),Emma Gillies,art/record/122070?highlight=*:*
138 (2015),Mark Osborne,art/record/53773?highlight=*:*
Siena (1956),John P Busby,art/record/21379?highlight=*:*
Portrait with a Beret (1986),Charles P. Stiven,art/record/21437?highlight=*:*
Virgin and Child,Unknown,art/record/20571?highlight=*:*
Man and Basket (1950),Alfred Hackney,art/record/21030?highlight=*:*
Untitled (Unknown),Unknown,art/record/21555?highlight=*:*
Untitled (1962),Kathleen Russell,art/record/99521?highlight=*:*
Untitled (Unknown),Unknown,art/record/21616?highlight=*:*
Seated Figure in Striped Top (Circa 1981),Alastair R. W. Hearsum,art/record/22527?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,art/record/21194?highlight=*:*
Untitled (1987),Susan Veitch,art/record/21898?highlight=*:*
Still Life with Guitar (1962),John Picking,art/record/22702?highlight=*:*
Saucer,Emma Gillies,art/record/53628?highlight=*:*
Portrait of an Old Woman (1959),Barbara Strachan,art/record/20868?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,art/record/21064?highlight=*:*
Nugget (2013),Charlotte Roseberry,art/record/21301?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,art/record/21785?highlight=*:*
Model in Studio (Circa 1962),Lesley M. Johns,art/record/122923?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,art/record/21248?highlight=*:*
Portrait of a Woman (1957),Peter McGinn,art/record/21086?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53685?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,art/record/21931?highlight=*:*
Unknown (1964),Eleanor Maiden,art/record/53584?highlight=*:*
Portrait of a Man in a Flat Cap (1963),John Milligan,art/record/21287?highlight=*:*
Portrait of a Man Seated (1959),C Byron,art/record/20914?highlight=*:*
Hand Thrown Bowl,Emma Gillies,art/record/53733?highlight=*:*
Still Life with Net and Burning Candle (Circa 1987),Donald Clark,art/record/22528?highlight=*:*
Nude Woman Standing (1961),Rose A. K. Forsyth,art/record/122826?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,art/record/21055?highlight=*:*
Portrait of a Woman (1957),Ruth Illingworth,art/record/21007?highlight=*:*
Unknown (1968),Kenneth R Duffy,art/record/99515?highlight=*:*
Pekin knot sample,Unknown,art/record/102730?highlight=*:*
The Etiquette of Landscape and Face: Passage 2 (2015),Leonie Neuweger,art/record/53782?highlight=*:*
Multicoloured Geometric (1971),Jim Hickey,art/record/22602?highlight=*:*
Landscape with Orchards (1955),Margaret Proudfoot,art/record/21033?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,art/record/21174?highlight=*:*
Circus,Margaret A Leake,art/record/21012?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,art/record/21436?highlight=*:*
The Candy Floss Vender,Unknown,art/record/122769?highlight=*:*
Nabucco (1983),Boris Bućan,art/record/22031?highlight=*:*
For Peter (JUN 2002),Jeremy Mitchell,art/record/21845?highlight=*:*
Untitled - The Magi (1963),Monika L I Uecker,art/record/99444?highlight=*:*
Unknown,J Brown,art/record/53568?highlight=*:*
Untitled (2002),Grace Paul,art/record/99934?highlight=*:*
Angel with Candelabrum (facing left),Unknown,art/record/20543?highlight=*:*
A Red Made For R.M Rilke (2006),Catlin Dalton,art/record/99884?highlight=*:*
Side Plate,Emma Gillies,art/record/53612?highlight=*:*
Untitled - Jousting Match (1965-1966),James B. Thomson,art/record/99447?highlight=*:*
Unknown,Unknown,art/record/50450?highlight=*:*
Portrait of a Woman (1958),Andrew Smith,art/record/21148?highlight=*:*
Portrait of a Woman (1963),Roger Cameron,art/record/21319?highlight=*:*
Portrait of a Woman (1966),Isobel T Johnstone,art/record/21404?highlight=*:*
Santa Maria Della Salute,William Wilson,art/record/21652?highlight=*:*
Three Views of a Seated Female Nude (1959),William Mackay,art/record/21163?highlight=*:*
Silhouetted Head,Leslie C. McConnell,art/record/122920?highlight=*:*
Espresso Cup,Emma Gillies,art/record/53693?highlight=*:*
Lid,Emma Gillies,art/record/122077?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,art/record/20876?highlight=*:*
Cape May (1983),G.M. L.,art/record/21975?highlight=*:*
Self Portrait in White Apron,Unknown,art/record/22600?highlight=*:*
Untitled (1966),Gillian Mather,art/record/22002?highlight=*:*
Begining (Unknown),Unknown,art/record/21926?highlight=*:*
Set of NDS slides,Unknown,art/record/102675?highlight=*:*
Plate,Emma Gillies,art/record/53715?highlight=*:*
Untitled (1968),Anne Lynch,art/record/22492?highlight=*:*
Untitled (1971),Ian Haycox,art/record/21836?highlight=*:*
Nude and Kettle (1976),Fionna E. Carlisle,art/record/22558?highlight=*:*
Saucer,Emma Gillies,art/record/53626?highlight=*:*
Sitting Nude Woman (1952),Mollie E N Langlands,art/record/122703?highlight=*:*
Standing Male Nude (1930-1931),John McNairn,art/record/21140?highlight=*:*
Emerging (1987),Paul Furneaux,art/record/111442?highlight=*:*
Untitled (1962),Cant,art/record/21763?highlight=*:*
Diddly Doodly (2006),John Brown,art/record/99953?highlight=*:*
Portrait of Woman with Hat (1974),Alan T. Johnston,art/record/122704?highlight=*:*
Of Carole Danielson (1964),Helen Cargill,art/record/53585?highlight=*:*
Orange (1985),Unknown,art/record/21589?highlight=*:*
Untitled (1972),Ian Gengt (possibly),art/record/21840?highlight=*:*
Frieze from the Temple of Athena Nike (2nd right) (1827),NA,art/record/20627?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99804?highlight=*:*
Study for Composition - The Long Journey (19 APR 1961),John Picking,art/record/111039?highlight=*:*
Doric Order (abacus and capital) of the Parthenon,NA,art/record/20638?highlight=*:*
Untitled (1964),Helen Cargill,art/record/22484?highlight=*:*
Portrait of a Male,George A. MacPherson,art/record/122726?highlight=*:*
Rainman/Air Boys (2003),John Schulz,art/record/99931?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,art/record/20719?highlight=*:*
Drawing of a Seated Woman (1958),Jacqueline A N Stieger,art/record/20787?highlight=*:*
Castor and Pollux (1835),Sarti,art/record/20593?highlight=*:*
Don Juan (1983),Boris Bućan,art/record/22038?highlight=*:*
Composition with Black Square (1981),Alastair R. W. Hearsum,art/record/22552?highlight=*:*
Untitled,Shirley Brown,art/record/22518?highlight=*:*
Still Life and Reflected Portrait (20 OCT 1962),John C Mark Jones,art/record/99258?highlight=*:*
Self-Portrait (Unknown),Justine Blair,art/record/21727?highlight=*:*
Framed applique (1936),Unknown,art/record/102698?highlight=*:*
Self Portrait (1975),Ruth S. Stiven,art/record/122889?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53680?highlight=*:*
Untitled - Portrait of Girl in Glasses (1965),Laura McPherson,art/record/99389?highlight=*:*
Portrait of a Woman with Teacup (1962),Leslie Johns,art/record/21264?highlight=*:*
Untitled - Old Woman (1965-1966),Norman Orr,art/record/99406?highlight=*:*
Untitled (MAR 1962),Irene Thomson,art/record/22015?highlight=*:*
'Gordini' Fairground Ride,Hazel Walker,art/record/21508?highlight=*:*
Marshal from the East Frieze of the Parthenon (1836-1837),NA,art/record/20679?highlight=*:*
135 (2015),Mark Osborne,art/record/53775?highlight=*:*
Head (1987),Janice McNab,art/record/22685?highlight=*:*
Seated Male Nude (1959),Ronald G Browne,art/record/21156?highlight=*:*
The Ruins (1948),James W. H. Cumming,art/record/122793?highlight=*:*
Nudes on the Beach (1953),Moira E. Brown,art/record/122830?highlight=*:*
Figures in an Interior,Henry Rogers,art/record/21491?highlight=*:*
Country Lane (1959),Jacqueline A N Stieger,art/record/20821?highlight=*:*
Portrait of a Woman (1954),D Stewart Lowdon,art/record/21214?highlight=*:*
Untitled (2002),Elizabeth Shepherd,art/record/99947?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,art/record/99430?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,art/record/99371?highlight=*:*
Standing Female Nude (1959),R G Browne,art/record/20953?highlight=*:*
Aix: Moroccan Women (1955),Margaret Proudfoot,art/record/21031?highlight=*:*
Idolino,Unknown,art/record/20576?highlight=*:*
Plate,Emma Gillies,art/record/53706?highlight=*:*
Unknown,Unknown,art/record/50433?highlight=*:*
Untitled (Unknown),Paul Gladston,art/record/21729?highlight=*:*
Horse,Emma Gillies,art/record/53747?highlight=*:*
Young Boy (1963),Roger Cameron,art/record/21265?highlight=*:*
Untitled - Two Apes Sun Bathing (1963),Ann F Ward,art/record/99347?highlight=*:*
Portrait of a Seated Woman (1954),Margaret Proudfoot,art/record/21212?highlight=*:*
Sampler Helen Martin (1936),Helen Martin,art/record/102669?highlight=*:*
Reclining Male Nude (1956),Ballantyne,art/record/21244?highlight=*:*
Harbour Scene 'KY16' (1964),John Bellany,art/record/20743?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99805?highlight=*:*
Untitled (May 1987),Annabel Keatley,art/record/21568?highlight=*:*
"Female Faces, Lips and Dots (Circa 1960)",Jennifer M. Hughes,art/record/22531?highlight=*:*
Machine stitched net (1946),Unknown,art/record/102688?highlight=*:*
Bust of Queen Nefertiti (Coloured),NA,art/record/20621?highlight=*:*
Abstract Pale Landscape,Laura Drever,art/record/22594?highlight=*:*
Seated Male Nude (1954),Robert Fraser,art/record/21243?highlight=*:*
Seated Male Nude (1959),George MacIntosh,art/record/20884?highlight=*:*
Untitled,Mary McKay,art/record/112445?highlight=*:*
Portrait of a Woman (1953),Lilias Stirling,art/record/22677?highlight=*:*
Portrait of Sleeping Woman (1957),Sheena McEwan,art/record/21009?highlight=*:*
"Funerary Statue of Marcellus, nephew of Augustus",Unknown,art/record/20587?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,art/record/20696?highlight=*:*
Espresso Cup,Emma Gillies,art/record/53701?highlight=*:*
Striding Male Nude (Circa 1939),Ian R McRobbie,art/record/21062?highlight=*:*
Car Interior,Elise Brown,art/record/21495?highlight=*:*
Horses from North Frieze of the Parthenon (1836-1837),NA,art/record/20716?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,art/record/20677?highlight=*:*
Untitled,William Breckenridge,art/record/21458?highlight=*:*
Untitled (1982),Alice Carter,art/record/21579?highlight=*:*
Untitled,Unknown,art/record/99861?highlight=*:*
Nighttime Scene of the City and River (1962),Geoffrey J Roper,art/record/99370?highlight=*:*
Unknown (1955),Rosemary Gray,art/record/53483?highlight=*:*
Peacock (Undated but found amongst ECA artworks from 1960s.),Carol Handyside,art/record/21288?highlight=*:*
Plate,Emma Gillies,art/record/53704?highlight=*:*
Figures in a Street with Flags (1952),William I. Millan,art/record/122883?highlight=*:*
Untitled (1962),Robert S. Crozier,art/record/112312?highlight=*:*
Unknown (1960),Robin E. Bownass,art/record/50606?highlight=*:*
Oscillation Three (2015),Mark Osborne,art/record/53776?highlight=*:*
Portrait of a Seated Woman in a Checked Shirt (Circa 1963),Irene G. Thomson,art/record/122787?highlight=*:*
Portrait of Man in Red Jacket (1968),Michael Docherty,art/record/21178?highlight=*:*
Unknown (JAN 1984),Moyna Flannigan,art/record/50404?highlight=*:*
Seated Male Nude (1961),Gwendoline Rodger,art/record/21289?highlight=*:*
Three Female Nudes (1952),Nicholas Patrick Rentiens,art/record/21372?highlight=*:*
Standing Male Nude Leaning on a Stool (1952),Unknown,art/record/21216?highlight=*:*
Untitled - Portrait of a Man in a Hat (1963),Anthony J Valentine,art/record/99441?highlight=*:*
Portrait (1956),Unknown,art/record/21256?highlight=*:*
Unknown (Unknown),Margaret Clyde,art/record/21879?highlight=*:*
Untitled,Unknown,art/record/21788?highlight=*:*
Untitled (1963),Irene Thomson,art/record/22016?highlight=*:*
Mexican needleweaving.donkeys (1951),Unknown,art/record/102691?highlight=*:*
Standing Female Nude (1959),Bruce Clapperton,art/record/20910?highlight=*:*
Four Female Heads (1959),Denness Morton,art/record/21078?highlight=*:*
Untitled - Abstract Collage with Spheres (1988-1990),Arlene Isbister,art/record/99471?highlight=*:*
Edinburgh College of Art Postgraduate Degree Show 1986 (1986),Andrew Arnott,art/record/21583?highlight=*:*
Unknown (1950),James Bowman,art/record/50609?highlight=*:*
Standing Female Nude (possibly),Rose Rifat,art/record/21236?highlight=*:*
Portrait of a Woman's Head (1957),Erica M Thomas,art/record/20841?highlight=*:*
Untitled (Unknown),Gregg Magee,art/record/21639?highlight=*:*
Portrait of a Seated Woman,Barbara Mackie,art/record/20999?highlight=*:*
Untitled,Unknown,art/record/102726?highlight=*:*
Composition Notes (02 MAY 1978),Unknown,art/record/53537?highlight=*:*
Death Mask (2) (1964),H. Dempshall,art/record/21649?highlight=*:*
Unknown,Unknown,art/record/50388?highlight=*:*
Untitled (Unknown),Unknown,art/record/99956?highlight=*:*
Preparatory Sketch (1960),Marjory Dickson,art/record/53529?highlight=*:*
Frieze from the Temple of Athena Nike (2nd left) (1827),NA,art/record/20626?highlight=*:*
Abstract Still Life with Yellow Pot,Thomas P. O'Brien,art/record/123109?highlight=*:*
Bagatelle (1950),Eric Ritchie,art/record/122921?highlight=*:*
Unknown (1960),Robin E. Bownass,art/record/50607?highlight=*:*
Orange Abstract (1987),Alistair Banks,art/record/22724?highlight=*:*
Portrait of a Man (1957),Norman E Kirkpatrick,art/record/21022?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,art/record/50444?highlight=*:*
Untitled (1968),Maureen Purcell,art/record/22503?highlight=*:*
Coupar,Unknown,art/record/50409?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),art/record/50554?highlight=*:*
Portrait of a Young Man (1948),Sheena Page,art/record/21070?highlight=*:*
Minoan Fertility Goddess Figurines (2017),Daisy Silver,art/record/100015?highlight=*:*
Still Life with Peonies,Anne Redpath,art/record/20746?highlight=*:*
(1967),Dorothy Campsie,art/record/112304?highlight=*:*
Portrait of a Woman (1964),Peter Pretsell,art/record/21420?highlight=*:*
Domestic Landscape I (2005),Giedre Karsokiene,art/record/99969?highlight=*:*
Seated Goddesses from the Parthenon (east pediment) (Pre 1830),Westmacott,art/record/20630?highlight=*:*
Hand of God (1989-1991),Paul Rooney,art/record/21873?highlight=*:*
Male Portrait (1949),Sheena Page,art/record/20773?highlight=*:*
Unknown,Britton,art/record/50374?highlight=*:*
"Still Life with Bottles, Vases and Striped Drape (Circa 1957)",Andrew P. W. Conkie,art/record/122862?highlight=*:*
Study for completed image (1960),Vivien Alexander,art/record/50624?highlight=*:*
